한글단어명,영문단어명,단어 전체 명
주체자,HOST,HOST
주최,SPSHIP,SPONSORSHIP
주택마련저축,HSSV,HOUSE SAVINGS
주택자금,HSFND,HOUSE FUND
주파수,FREQU,FREQUENCY
준비,PREP,PREPARE
준비물,PREPS,PREPARATION
줄,LN,LINE
중,DURI,DURING
중간,MID,MIDDLE
중간고사,MEXM,MIDDLE EXAMINATION
중기,MIDTM,MIDDLE TERM
중대,SQUA,SQUADRON
중복공제,DPDD,DUPLICATION DEDUCTION
중분류,MCLSF,MIDDLE CODE
중식,LNCH,LUNCH
중앙,CEN,CENTER
중요,MAIN,MAIN
중장비,HEAVY_EQUIP,HEAVY EQUIPMENT
중핵,CORE,THE CORE
증가,INCR,INCREASE
증감,INDE,INCREASE & DECREASE
증권,SEC,SECURITIES
증명,CERTE,CERTIFICATE
증명서,CERT,CERT
증명서발급번호,CERT_ISSUE_NO,UNDEFINED
증상,SYMPT,SYMPTOMS
증서,DED,DEED
증정,PRST,PRESENT
증축,ENLARG,ENLARGEMENT
지가,LANDPRC,THE PRICE[VALUE] OF LAND
지각,LATE,LATENESS
지도,GUID,GUIDANCE
지도교수,ADVR,AN ADVISER
지로,GIRO,GIRO
지망,DESR,DESIRE
지목,LASE,LAND PURPOSE
지방,LOCL,LOCALITY
지번,LADR,LAND ADDRESS
지병,DISS,CHRONIC DISEASE
지불,PYMT,PAYMENT
지붕,ROOF,ROOF
지상,OVGR,OVER GROUND
지수,INDEX,INDEX
지시,INDICA,INDICATION
지식,KNLG,KNOWLEDGE
지역,LCAL,LOCAL
지연,DELAY,DELAY
지원,APLY,APPLY
지원자,APLIER,APPLIER
지적,ACR,ACRE
지점,BRAN,BRANCH
지정,APNT,APPOINTMENT
지질,QTPP,THE QUALITY OF PAPER 
지체상금,DLYPNLT,"DELAY PENALTY
"
지출,EXP,EXPENSE
지하,UNGR,UNDERGROUND
직군,WKPG,WORK POSITION GROUP 
직급,WKGD,WORK GRADE
직렬,WKSP,WORK SPECIES
직류,WKPART,WORK PART
직무,DUTY,DUTY
직불,DEBIT,DEBIT
직업,JOB,JOB
직열,WKROW,WORK ROW
직위,WKPO,WORK POSITION
직장,WKPL,WORK PLACE
직접비,DRCST,DIRECTR COST
직책,WKDTY,WORK DUTIES
진단,DIAG,DIAGNOSIS
진도,PRGRE,PROGRESS
진로,COURSE,COURSE
진보,PROG,PROGRESS
진품,TRGD,TRUE GOODS
질병,DSS,DISEASE
질적,QUALTIV,QUALITY
집중,CNCTR,CONCENTRATION
집합,GATH,GATHER
집행,EXEC,EXECUTION
징계,PNSH,PURNISH
차,CAR,CAR
차감,SBTR,SUBTRACTION
차관,DBT,DEBT
차기,NXT,NEXT
차대번호,VIN,VEHICLE IDENTIFICATION NUMBER
차변,DR,DEBIT
차입금,LOAMT,LOAN AMOUNT
차종,CAR_MDL,CAR MODEL
착공,BGN,BEGINNING
착신,RCPT,RECEIPT
참가,ATNDC,ATTENDANCE
참가자,ATNDCR,ATTENDANCER
참고,REF,REFERENCE
참여,PARTICI,PARTICIPATION
참여자,PARTICIR,UNDEFINED
창간,LAUN,LAUNCH
창원,CHWON,CHANG WON
창의성,CRTV,CREATIVITY
창작,CRE,CREATION
채권,BOND,BOND
채널,CHNL,CHANNEL
채번,ORDL,ORDINAL
채점,MRK,MARKING
채점자,SCRER,SCORER
책상,DESK,DESK
책임감,RSPS,REPONSIBILITY
책임자,DUTYR,A PERSON IN DUTY
책정,FIXNG,FIXING
처리,TRET,TREATMENT
처방,PRESCR,PRESCRIPTION
처치,TRT,TREAT
천정,ZENITH,ZENITH
철도,RAIL,RAILROAD
첨부,ATCH,ATTACH
청,ADM,ADMINISTRATION
청각,HEAR,THE SENSE OF HEARING
청약,SUBSCRP,SUBSCRIPTION
체격,PHYQ,PHYSIQUE
체결,CONCU,CONCLUSION
체력,PSTRNG,PHYSICAL STRENGTH
체력단련,PHYTRN,"PHYSICAL TRAINING
"
체류지,STAYPL,STAYING PLACE
체육,SPORTS,SPORTS
체험,EXPE,EXPERIENCE
초,SCNDS,SECONDS
초기,INI,INITIAL
초등,ELM,ELEMENTARY
초록,SMR,SUMMARY
초빙,INVIT,INVITATION
초심,FTTRL,FIRST TRIAL
초중고,EMH,ELEMENTARY MIDDLE HIGH
초진,FSMEDI,THE FIRST MEDICAL EXAMINATION
총괄,WHOLE,GENERLIZATION
총무,GNAF,GENERAL AFFAIRS
총서,SERI,A SERIES
총설,GNRRMKS,GENERAL REMARKS
총장,CHANC,CHANCELLOR
총점,TT_SCOR,TOTAL SCORE
촬영,PHTGP,PHOTOGRAPHING
최고,BEST,BEST
최근,LTST,THE LATEST
최대,MAX,MAXIMUM
최소,MIN,MININUM
추경,ABUDG,ADD BUDGET
추론,DEDUCT,DEDUCT
추정,PRESU,PRESUMPTION
추진,PROPU,PROPULSION
추천자,RCOMR,UNDEFINED
출결,ATND,ATTENDANCE
출고,OUST,OUT STORE
출국,DECO,DEPART COUNTRY
출근,ATDC,ATTENDANCE
출금,OUAMT,OUT AMT
출납,PYMNT,PAYMENTS
출력,PRN,PRINT
출산,CHDBIRTH,CHILD BIRTH
출생,BIRTH,BIRTH
출석부,ATT_BOOK,ATTENDANCE BOOK
출신,NATV,A NATIVE
출연금,CNTRB,CONTRIBUTION
출원,APPL,APPLICATION
출장,BSTR,BUSINESS TRIP
출전,PATICIPA,PARTICIPATION
출제위원,EXAMINER,EXAMINER
출판사,PUBL_CO,A PUBLISHING COMPANY
충당,ALLOC,ALLOCATE
충실도,FDLT,FIDELITY
충용,APPRO,APPROPRIATION
충족,SUFY,SUFFICIENCY
취급,TRMENT,TREATMENT
취미,HOB,HOBBY
취소,CNCL,CANCEL
취소자,CNCLR,UNDEFINED
취학전아동,PRECHD,A PRESCHOOL CHILD
측량,SVY,SURVEY
치과,DENT,DENTAL
친절,KNDN,KINDNESS
친절도,KNDRT,KINDNESS RATE
카드,CARD,CARD
캠퍼스,CAMP,CAMPUS
컨소시엄,CONSRM,CONSORTIUM
코드,CD,CODE
코치,COACH,COACH
쿠폰,CPN,COUPON
퀴즈,QUIZ,QUIZ
크기,SIZE,SIZE
클래스,CLASS,CLASS
클리닉,CLNC,CLINIC
키,KEY,KEY
키워드,KEYWORD,KEYWORD
타,OTH,OHTER
타교,OTSCH,OTHER SCHOOL
타교생,OUTSTU,OTHER SCHOOL STUDENT
타군,OTMIL,OTHER MILITARY
타전공,OTMJ,OTHER MAJOR
탈고,CPMS,COMPLETION OF A MANUSCRIPT
탈락,DRP,DROP
탈퇴,QUIT,QUIT
탐구,SRCH,SEARCH
태도,ATTI,ATTITUDE
테스트,TEST,TEST
테이블,TABL,TABLE
테이프,TAPE,TAPE
토론,DISCU,DISCUSS
토론자,DEBATR,DEBATER
토요일,SAT,SATURDAY
토익,TOEIC,TOEIC
토플,TOEFL,TOEFL
통계,STAT,STATISTICS
통과,PASS,PASS
통관,ENTRY,ENTRY
통상,NORM,NORMALLY
통신,COMM,COMMUNICATION
통장,BNKBK,BANKBOOK
통제,CTRL,CONTROL
통학,ATNDSCH,ATTENDING SCHOOL
통합,INTGRTN,INTEGRATION
통화,CALL,CALL
퇴거,QUTT,LEAVING;QUITTING
퇴관,LVRM,LEAVING THE ROOM
퇴근,AFWK,AFTER WORK
퇴사,LEAVDORM,LEAVE A DORMITARY
퇴원,LVHOS,LEAVING HOSPITAL
퇴직,RETI,RETIRE
퇴직금,RETI_PAY,RETIREMENT PAY
투자,INVST,INVESTMENT
투자조합,ICOMP,AN INVESTMENT COMPANY
투표,BLOT,BALLOT
튜터,TUTR,TUTOR
튜터링,TUTRNG,TUTORING
튜티,TUTE,TUTEE
특기,SKIL,SKILL
특례,SPCLEX,SPECIAL EXAMPLE
특별,SPCL,SPECIAL
특별세,SPTAX,SPECIAL TAX
특성화,CHRTZN,CHARACTERIZATION
특이,SPC,SPECIAL
특전,PRIV,PRIVILEGE
특징,FEAT,FEATURE
특차,SPTM,SPECIAL TIME
특허,PATENT,PATENT
팀,TEAM,TEAM
팀원,TMMBR,TEAM MEMBER
팀장,TMCPT,TEAM CAPTAIN
파견,DTMT,DETACHMENT
파급,EFT,EFFECT
파일,FILE,FILE
판,EDT,EDITION
판결,JUDGMNT,JUDGEMENT
판형,FMT,FORMAT
패키지,PKG,PACKAGE
팩스,FAX,FAX
편람,HNDBOOK,HANDBOOK
편의,CONV,CONVENIENCE
편자,EDTR,EDITOR
편저,CMPL,COMPILATION
편저자,CMPLR,COMPILATION
편차,VARIA,VARIATION
평가도구,APRTL,APPRAISE TOOL
평가자,APPRR,APPRAISAL
평균,AVG,AVERAGE
평방,SQUR,SQUARE
평생교육사,LIFE_EDU_LIC,LIFE_EDU_LIC
평수,PYNO,NUMBER OF PYEONG 
평정,EST,ESTIMATE
폐강,CLS_CLSS,CLOSE CLASS
폐교,DIPSCHL,DIPOSAL SCHOOL
폐기,DIPS,DISPOSAL
폐기자,DIPSR,DISPOSALOR
폐품,WAST,WASTE ARTICLES
포괄,INCL,INCLUDE
포기,GVUP,GIVE UP
포장,PACKNG,PACKING
포지션,POSIT,POSITION
포트폴리오,PRTFL,PORTFOLIO
표,CHRT,CHART
표준,STAD,STANDARD
표준편차,STAD_DEVI,STANDARD DEVIATION
표지,COVER,COVER
풀,POOL,POOL
품의,CNST,CONSULTAION
품절,SLDOUT,SOLD OUT
품질,QLTY,QUALITY
프로그램,PGM,PROGRAM
프리랜서,FRLNCR,FREELANCER
프린터,PRNR,PRINTER
피고,DEFNDNT,DEFENDANT
피드백,FDBK,FEEDBACK
피배정,ASGNED,ASSGNED
피크,PEAK,PEAK
픽업,PICUP,PICKS UP
필기,TNOTE,TAKING NOTES
필기시험,WREXAM,WRITING EXAMINATION
필드,FIELD,FIELD
필름동판,FLMCPP,FLIM COPPERPLATE 
필명,PEN_NM,PEN NAME
필자,WRITER,WRITER
하,BTTM,BOTTOM
하기,SUMM,SUMMER
하수도,DRAGE,DRAINAGE
하자,FULT,FAULT
하한,LOW,LOWER
하한선,LOWLMT,LOW LIMIT
학과,SUST,SUBJECT OF STUDY
학교,SCH,SCHOOL
학기제,TRM_SYS,TERM SYSTEM
학년,SHYR,SCHOOL YEAR
학년도,SCHYY,A SCHOOL YEAR
학력,SHCR,SCHOOL CAREER
학무,SHAF,SCHOOL AFFAIRS
학문,STUD,STUDIES
학번,STUNO,STUDENT NUMBER
학부모,STPRT,STUDENT' PARENT
학비,SCHEXP,SCHOOL EXPENSES
학생부,STD_HIS,STUDENT HISTORY
학생증,STD_IDCD,A STUDENT´S (IDENTIFICATION) CARD
학생회,STD_ASM,STUDENT ASSEMEBLY
학석사,BCHLOR_MSTR,"A BACHELOR AND A MASTER"
학수,STLSN,SUBJECT OF STUDY'S LESSON
학술,ACDM,AN ACADEMY
학술진흥재단,KRF,KOREA RESEARCH FOUNDATION
학습자,LRNER,LEARNING PERSON
학업,STDS,STUDIES
학원,ACMY,ACADEMY
학원비,ACAEXP,ACADEMY EXPENSE
학위,DEGR,DEGREE
학자,SCLAR,SCHOLAR
학자금,EDU_FUND,EDUCATION FUND
학장,DEAN,DEAN
학적,SHREG,SCHOOL REGISTER
학점,PNT,POINT
학제,EDUSTM,AN EDUCATIONAL SYSTEM
학칙,SCHRL,SCHOOL RULE
한국어,KRL,KOREAN LANGUAGE
한글,KOLN,KOREAN LANGUAGE
한문,CHA,CHINESS CHARACTER
할인,DC,DISCOUNT
할인전,DCBEF,DISCOUNT BEFORE
함수,FUNCT,FUNCTION
합,SUM,SUMMARY
합동,COMB,COMBINATION
합반,COMCS,COMBINED CLASS
합산,ADUP,"TOTAL, ADDING UP"
합성,SYNTHESIS,SYNTHESIS
항공,AIR,AIR
해결,SOLVE,SOLVE
해고,DSMS,DISMISSAL
해당,PRTNT,PERTINENT
해제,RLEAS,RELEASE
해지,TRMN,TERMINATION
해체,BRKUP,BREAKUP
핸드폰,HP,
행,ROW,ROW
향방,NTDF,ONE´S NATIVE PLACE DEFENSE
향토,NTPC,ONE´S NATIVE PLACE
허가,ALLW,ALLOWANCE
허가서,ALLWDOC,UNDEFINED
현근무지,CSIT,CURRENT SITE
현장,SCENE,SCENE
현재,NOW,NOW
현지,ACPL,THE ACTUAL PLACE
현직,INCBT,INCUMBENT
현황,PRECON,THE PRESENT CONDITION
혈압,BLD_PRSS,BLOOD PRESSURE
혈액,BLD,BLOOD
혈액형,BLDTP,BLOOD TYPE
협진,COMEDI,COOPERATION MEDICAL EXAMINATION AND TREATMENT
형,ELBRO,ELDER BROTHER
형제,BROTH,BROTHER
형편,SITU,SITUATION
호,HO,HO
호봉,STEP,PAY STEP
호실,ROOM,ROOM
호주와의관계,HOST_REL,RELATION WITH HOST
호출기,BEPR,BEEPER
홈페이지,HOME_PAGE,HOME PAGE
홍보,PR,PUBLIC RELATIONS
홍보물,PRBR,PR BROCHURE
화물,CARG,CARGO
화요일,TUE,THUESDAY
화폐,MNY,MONEY
확인,CFM,CONFIRM
확인자,CFMR,UNDEFINED
확정자,DCSNR,DECISIONER
환경,ENVIR,ENVIRONMENT
환급보험료,RET_PREM,RETURN PREMIUM
환불,REPMT,REPAYMENT
환산,EXCH,EXCHANGE
환산비율,EXCGRT,EXCHANGE RATE
환수,RDMP,REDEMPTION
환율,EXRATE,EXCHANGE RATE
환자,PATI,A PATIENT
회계,ACNT,ACCOUNTS
회답,X-RADIATION,REPLY
회보,BLTN,A BULLETIN
회비,DUES,DUES
회선,CIRCUIT,CIRCUIT
회의록,MEETRD,MEETING RECORD
회장,PSDT,PRESIDENT
회전,REV,REVOLUTION
회지,BULL,BULLETIN
회칙,CONSTI,CONSTITUTION
회화,CNVS,CONVERSATION
효도,FIPIT,FILIAL PIETY
후배,JUNIOR,JUNIOR
후보,CANDI,CANDIDATE
훈련,TRN,TRAIN
훈화,ADMO,ADMONITION
휠체어,WHLCHR,WHEELCHAIR
휴,CEAST,CEAST
휴강,SKIP_LT, SKIPPING A LECTURE
휴대,CARY,CARRY
휴직,NDTY,NOT DUTY
흉부,CHEST,CHEST
흡연,SMOKE,SMOKE
흡입,SUCT,SUCTION
희망,HOPE,HOPE
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
