한글단어명,영문단어명,단어 전체 명,단어 설명
성취,ACHIV,ACHIVEMENT,"목적한 바를 이루어 냄, 제대로 이루어지다"
성취도,ACHIV,ACHIVEMENT,
세관,CSTMS,CUSTOMS,
세금,TAX,"TAXATION BUSINESS, TAX AFFAIRS",[稅金]국가나 지방 단체가 필요한 경비를 충당하기 위해서 국민으로부터 거두어들이는 돈
세금액,TAXAMT,TAX AMOUNT,세금액
세기,CENT,CENTURY,
세대,GENE,GENERATION,
세대주,HOUSEHOLDER,A HOUSEHOLDER,
세로,VERT,VERTICAL,
세목,SB,SUB ACCOUNT,
세무,TAX,TAX,
세무서,TAXOFCE,A TAX OFFICE,
세미나,SEMI,SEMINA,
세부,DETA,DETAIL,
세세목,SBIZ,SUB BUSINESS SEQ,
세세항,SBBS,SUB BISUNESS SECTION,
세액,TAX,"TAXATION BUSINESS, TAX AFFAIRS",국가나 지방 단체가 필요한 경비를 충당하기 위해서 국민으로부터 거두어들이는 돈
세액공제,TXDUC,TAX DEDUCTION,
세율,TRATE,TAX RATE,
세항,SBS,SUB SECTION,
센터,CENTR,CENTER,센터
셑,SET,SET,
소,SM,SMALL,
소개,INTRO,INTRODUCTION,
소견,OPIN,OPINION,
소계,SBTT,SUBTOTAL,
소급,RTRO,RETROACTION,
소대,PLAT,A PLATOON,
소득,EARN,EARNING,
소득세,EITAX,THE EARNED INCOME TAX,
소득세법,ITXLW,INCOME TAX LAW,
소득자,EARNR,EARNER,
소멸,EXTIN,EXTINCTION,
소멸금액,DESTAMT,DESTAMT,
소모품,CONGD,GOODS FOR CONSUME ,
소분류,SCLSF,SMALL CODE,
소속,POSI,"DEPARTMENT, POSITION","어떤 조직체나 부류에 딸림, 딸리게 되다"
소송,SUIT,SUIT,
소수,MNR,MINORITY,
소스,SRC,SOURCE,
소액,SMAMT,SMALL AMOUNT,
소요,ND,NEED,
소위원회,SMCMTT,SMALL COMMITTEE,
소유,OWN,OWNERSHIP,"자기 것으로 가짐, 자기 것으로 가지다"
소유자,OWNR,OWNER,
소재지,LOCA,LOCATION,
소집,ASSE,ASSEMBLY,
소프트웨어,SW,SOFTWARE,
소화기,FIREEXT,EXTINGUISHER,
속성,ATTR,ATTRIBUTE,데이터의 가장 작은 논리적 단위. 그 자체만으로는 중요한 의미를 가지지 못하며 단독으로 존재하기 어려운 특성을 갖는다. 일반적으로 실체(ENTITY)에 대한 식별자로서 실체에 관한 서술적 정보
손망실,LOSS,LOSS,
손실,LOSS,LOSS,
손익,PFLS,PROFIT AND LOSS,
송금,RMTNCE,"REMIT MONEY,",
송부,SEND,SENDING,
송신,SEND,SENDING,
송신자,SNDR,영어,
쇄,PRINT,PRINTING,
수,CNT,COUNT,일이나 사건 따위의 가짓수
수강,TLSN,TAKING A LESSON,
수강생,TLSNR,"A TRAINEE, A PERSON PRESENT AT A LECTURE CLASS",TAKING A LESSON
수강자,TLSNR,"A TRAINEE, A PERSON PRESENT AT A LECTURE CLASS",
수거,TAKE AWAY,TKAWY,"[收去] 거두어 감
"
수금,RECPT,RECEIPT,
수기,MANU,MANUAL,
수납,ACPT,ACCEPTANCE,
수능,SCHABLT,SCHOLASTIC ABILITY,
수당,ALLOW,AN ALLOWANCE,
수도,WAWRK,WATER WORKS,
수량,CNT,COUNT,"낱낱의 수, 개수"
수령,ACCPT,ACCEPTANCE,
수령자,RCTPSN,RECEIPT PERSON,수령자
수료,CETE,COMPLETE,
수리,MATH,MATHEMATICS,
수리,REPA,REPAIR,건물이나 물건 따위의 고장나거나 허름한 데를 손보아 고침
수명,LIFE,LIFE TIME,
수목,TREE,TREE,
수발,RCVSND,RECEIVE SEND,
수상,PRIZE,PRIZE,
수석,HEAD,THE HEAD(CHEIF),
수수료,CMSN,COMMISSION,
수술,OPER,OPERATION,
수습,TRNG,TRAINING,
수시,OFTEN,OFTEN,
수신,RECP,THE RECEIPT OF A MESSAGE,우편이나 전보 따위의 통신을 받음. 또는 그런 일.
수신자,RECPR,RECEPTOR,
수업,LSN,LESSON,
수여,ARD,AWARD,
수여자,ARDR,AWARDER,
수요,DMND,DEMAND,
수요일,WED,WEDNESDAY,
수용,ADMT,ADMITTED,"그대로 들어주다, 남의 요청이나 제안 따위를 받아들여서 자기 것으로 삼음"
수익,PROFIT,PROFIT,
수입,INC,INCOME,
수정,MOD,CHANGE,수정
수정자,MODER,MODIFY PERSON,
수준,LVL,LEVEL,
수증,RECPT,RECEIPT,
수증자,RECPTR,UNDEFINED,
수축,SHRK,SHRINKING,
수취,RECP,THE RECEIPT OF A MESSAGE,
수탁,TRUST,TRUST,
수퍼,SUPER,SUPER,
수학,LRN,LEARNING,학문을 배우거나 수업을 받음. 
수학,MATH,MATHEMATICS,수와 양 및 공간의 성질에 관하여 연구하는 학문
수행,CAOT,CARRY OUT,
수험,EXAM,EXAMINATION,
수험생,EXAM_TKR,EXAM TAKER,
수험표,EXMSHT,EXAMINATION SHEET,
수혜,BNFT,BENEFIT,혜택을 입음
숙박,HTCG,HOTEL CHARGES,
숙직,NGHTY,NIGHT DUTY,
순,PURE,PURE,
순번,SEQ,SEQUENCE,[順番]순서대로 매겨지는 번호
순서,ORD,ORDER,[順序]정해진 기준에 따라 여럿을 선후로 구분하여 나열한 것
순서,ORD,ORDER,정해진 기준에 따라 여럿을 선후로 구분하여 나열한 것
순수,PURE,PURE,
순위,RANK,RANKING,차례나 순서를 나타내는 위치나 지위
숫자,NMRL,NUMERAL,
스캔,SCAN,SCAN,
스크랩,SCRAP,SCRAP,
스탭,STAFF,STAFF,
슬로건,SLOG,SLOGAN,
습득,ACQ,ACQUISITION,
승강기,ELEV,ELEVATOR,
승격,PRMT,PROMOTION,
승계,SUCC,SUCCESSION,"선임자나 선대의 업적, 유산, 전통 따위를 뒤이어 물려받음"
승급,PRMT,PROMOTION,
승용,RIDG,UNDEFINED,
승인,ACCP,ACCEPT,
승인자,ACCPR,UNDEFINED,
승진,PRMT,PROMOTION,
승차,RIDE,RIDE,차에 올라탐
시,SI,,
시가,MPRC,MARKET PRICE,
시각,HOUR,HOUR,[時刻]흐르는 시간상의 한 순간
시각,VSL,VISUAL,
시간,TM,TIME,"[時間]과거, 현재, 미래로 이어져 머무름이 없이 일정한 빠르기로 무한히 연속되는 흐름"
시간표,TM_TBL,A TIME TABLE,일정한 시간의 배당을 적어넣은 표
시공,COSTRT,CONSTRUCTION,
시군구,CDS,"ADMINISTRATION CITY, DISTRICT, SECTION",
시기,SHTM,SCHOOL TERM,
시도,AREA,AREA,
시디키,CDKEY,CD KEY,
시력,SGHT,SIGHT,
시뮬레이션,SIMUL,SIMULATION,
시민,CTZN,CITIZEN,
시분,HMINT,HOUR AND MINUTE,특정 시각과 분을 지칭
시상,AWRD,AWARD,
시설,INST,INSTITUTION,설비나 장치 따위를 차려놓거나 일정한 구조물을 만듦
시설물,INST,INSTITUTION,
시수,MHOUR,MAN HOUR,
시스템,SYSTEM,SYSTEM,"외부로부터의 힘에 의해 동작하는 일련의 자동 기계 장치, 어떤 목적을 위하여 체계적으로 짜서 이룬 조직이나 제도"
시외,SURB,SUBURBS,
시작,FR,FROM,처음으로 행하거나 쉬었다가 다시 행하다
시장,MKT,MARCKET,
시장성,MKTBLT,MARKETABILITY,
시점,PTM,POINT OF TIME,
시정,CORR,CORRECTION,"잘못된 것을 바로잡음, 제대로 바로잡히다"
시청,WTCH,WATCH,
시행,PERF,PERFORM,
시험,EXAM,EXAMINATION,"지식이나 재능, 실력 따위를 일정한 절차에 따라 알아보고 평가함, 실제로 검사하고 평가하다"
시효,VALD,VALID,
식,FMLA,FOMULA,
식,FOOD,FOOD,
식당,CAFE,A CAFETERIA,
식별,DSTSH,DISTINGUISH,
식별번호,ID,IDENTIFICATION NUMBER,
식사,FOOD,FOOD,
신,NEW,NEW,
신고,RPRT,A REPORT,
신고서,RPRT,A REPORT,
신규,NEW,NEW,새로이 어떤 일을 함
신규화,NEWLY,NEWLY,
신도,BLV,BELIEVER,
신문,PAPER,PAPER,
신문기자,PRES_MAN,A PRESS MAN,
신분,STTS,STATUS,
신분증,IDCARD,ID CARD,
신상,PERS,PERSONAL,
신설,OPEN,OPEN,
신앙,FAITH,FAITH,
신용공제회,CREDIT_UNION,UNDEFINED,
신용카드,CREDIT_CARD,CREDIT CARD,
신원,IDTY,IDENTITY,
신임,NEW,NEW,
신입생,NEW_STD,NEW STUDENT,
신입학생,NEW_STD,NEW STUDENT,신입생
신장,HGHT,HEIGHT,높은 정도.
신청,REQ,REQUEST,
신청서,APLDOC,APPLY DOCUMENT,
신청자,APLYT,APPLYANT,
신체,BODY,BODY,
신탁,TRST,TRUST,일정한 목적에 따라 재산의 관리와 처분을 남에게 맡기는 일. 
신호,SIGNL,SIGNAL,
실기,PRAC,PRACTICAL,
실무,BUSI,BUSINESS,실제적이고 구체적인 업무
실무자,BUSI,BUSINESS,
실사,INVEST,INVESTIGATION,
실습,PRAC,PRACTICAL,이론으로 배운 것을 실제로 직접 경험해 보면서 익힘
실시,RUN,RUN,
실업,UNEM,UNEMPLOYMENT,
실적,RSLT,RESULT,
실적물,RSLTS,RESULTS,
실점,SCOR,SCORE,
실행,RUN,RUN,이론이나 규범 및 신념 따위를 실제의 행동으로 옮김
실행로그,EXECLOG,EXECLOG,
실험,EXPRM,EXPERIMENT,
심도,DEP,DEPTH,
심사,SCRN,"DELIBERATION, CONSIDERATION, REVIEW","[審査]어떤 기준에 따라 자세히 조사하여 합격 여부나 타당성, 적법성 여부 따위를 가림"
심사자,SCRNGR,SCREEINER,
심의,SCRN,SCREENING,
심판,JUDT,JUDGMENT,
심화,DEEP,DEEPING,
쓰기,WRTNG,WRITNG,
아동,CHRN,CHILD,
아래,SUB,(PREFIX) ~ UNDER,
아버지,FTHR,FATHER,"자신에게 혈통을 직접 이어 준 남자를 가리키거나 부르는 말, 자식을 둔 남자를 자식과 관련하여 가리키거나 부르는 말"
아이디,ID,IDENTIFICATION NUMBER,
아침,MORNG,MORNING,
악기,INSTMT,A MUSICAL INSTRUMENT,
안,IN,IN,
안건,MTR,MATTERS,
안내,GUIDC,GUIDANCE,
안전,SAF,SAFETY,
암호,CRYPT,CRYPTOGRAM,"비밀을 유지하기 위하여 당사자끼리만 알 수 있도록 꾸민 부호나 신호, 사용자로부터 시스템이나 데이터 파일을 이용할 수 있는 권리를 확인하기 위하여 쓰는 비밀 부호.
비밀번호"
압력,PRSS,PRESSURE,
압류,SEIZ,SEIZURE,
액,AMT,AMOUNT,돈의 액수.
액면,FACE,FACE,
액세서리,ACSY,ACCESSORY,
앨범,ALBM,ALBUM,
야간,NGHT,NIGHT,
야식,MSNACK,MIDNIGHT SNACK ,
약력,BFHT,A BRIEF (PERSONAL) HISTORY,
약명,ABBNM,ABBREVIATED NAME,
약속,APPO,APPOINTMENT,
약어,ABB,ABBREVIATED,긴 명칭을 짧게 줄임.
약정,AGR,AGREEMENT,"약속하여 정함,"
약칭,ABB,ABBREVIATED,
약품,DRUG,DRUGS,
양,QTY,QUANTITY,수효와 분량을 아울러 이르는 말
양력음력,LUSO,LUNAR,
양수,RECPT,RECEIPT,
양식,SHT,SHEET,겉으로 드러나 있는 일정한 모양이나 형식
양여,TRANS,TRANSFER,
양육비,BREXPS,THE EXPENSE[COST] OF BRINGING UP A CHILD,
양적,QUANTIV,QUANTITATIVE,
어,WORD,WORD,
어디서,WHERE,WHERE,
어린이,CHRN,CHILD,"어린이, 아이, 아동"
어머니,MOM,MOTHER,자기를 낳은 여성을 가리키거나 부르는 말
어음,NOTE,NOTE,일정한 시기에 일정한 장소에서 일정한 금액을 지불하겠다고 약속한 유가 증권
어제,PREVDAY,PREVIOUS DAY,
어학,LANG,LANGUAGE,
언론,SPCH,SPEECH,
언론사,SPCHCO,SPEECH COMPANY,
언어,LANG,LANGUAGE,"인간의 사상이나 감정을 표현하고, 의사를 소통하기 위한 소리나 문자 따위의 수단"
언제,WHEN,WHEN,
엄마,MOM,MOTHER,
업로드,UPLOAD,UPLOAD,
업무,BUSS,BUSINESS,
업적,ACHV,ACHIEVEMENTS,
업종,BIZTP,BUSINESS TYPE,영업이나 직업의 종류
업체,CO,COMPANY,
업태,WKTP,WORK TYPE,
에너지,ENERGY,ENERGY,
에프터서비스,AS,AFTER SERVICE,
엑셀,EXCEL,EXCEL,
엘리트,ELITE,ELITE,
여,WOMN,FEMALE,
여과,FILT,FILTER,
여권,PSPT,PASSPORT,
여부,YN,YES OR NO,있음과 없음
여비,TREXPS,TRAVELING EXPENSES,
여석,RCAPA,REMAINED CAPACITY,
여성,WOMN,WOMAN,"성(性)의 측면에서 여자를 이르는 말. 특히, 성년成年이 된 여자를 이른다."
여학생,GRSTD,GIRL STUDENT,
여행,TRIP,TRIP,
역,IVS,INVERSE,
역,STAT,STATION,기차가 발착하는 곳.
역량,ABTY,ABLITY,
역종,MILKD,MILITARY KIND,
역할,ROLE,ROLE,
연,YY,YEAR,
연가,YRLV,YEARLY LEAVE,
연간,ANN,AN ANNUAL,"한 해 동안,"
연결,CONN,CONNECT, 어떤 대상을 다른 대상과 서로 이어서 맺음
연계,CONN,CONNECT,
연구,RECH,RESEARCH,
연구비,RSAMT,RESEARCH AMOUNT,
연구소,LAB,LABORATORY,어떤 대상에 대한 연구를 전문적으로 하는 기관
연구실,LAB,LABORATORY,
연구원,RECHER,RESEARCHER,연구에 종사하는 사람
연구자,RECHER,RESEARCHER,
연금,PENS,PENSION,
연금저축,PNSV,PENSION SAVINGS,
연기,PSTP,"POSTPONEMENT,",
연도,YY,YEAR,일정한 기간 단위로서의 그해.
연락,COCT,"CONNECTION, CONTACT",
연락처,CNTINFO,CONTACT INFORMATION,연락하기 위한 전화번호
연령,AGE,AGE,[年齡]사람이나 생물이 나서 살아온 햇수
연료,FUEL,FUEL,
연말,YEND,YEAR-END,
연면적,TTAR,TOTAL AREA,
연번,SRNUM,SERIAL NUMBER,
연보,ANRPRT,AN ANNUAL REPORT,
연봉,YSALY,AN ANNUAL[A YEARLY] SALARY,
연봉제,YSALY_BS,YEARLY SALARY BASE,
연비,FUELEFY,FUEL EFFICIENCY,
연속,CNTI,CONTINUITY,끊이지 않고 죽 이어지거나 지속함
연수,STDTR,STUDY AND TRAINING,
연수,YRCNT,YEAR COUNT,년수
연식,MDLYR,MODEL YEAR,"[年式]  기계류, 특히 자동차를 만든 해에 따라 구분하는 방식."
연월,YYMM,YEAR MONTH,
연월일,YYMMDD,YEAR MONTH DAY,
연장,EXTNS,EXTENTION,
연차,ANNLV,ANNUALY,
연차,YRCNT,YEAR COUNT,(年次) 1. 나이의 차례.  2. 햇수의 차례. 
연체,DELY,DELAY,이행해야 할 채무나 납세 따위를 정해진 기한이 지나도록 지체함
연합,LG,LEAGUE,
연혁,HIST,HISTORY,
열,COL,COLUMN,
열람,INSP,INSPECTION,
영구,ETER,ETERNITY,
영리,PROFIT,PROFIT,
영문,ENG,ENGLISH,영문자
영선,BLDRPR,BUILDING AND REPAIRS,
영수,RECPT,RECEIPT,
영수인,RECIP,RECIPIENT,
영수증,RECPT,RECEIPT,돈이나 물품 따위를 받은 사실을 표시하는 증서
영어,ENG,ENGLISH,
영업,BIZ,BUSINESS,
영역,FLD,FIELD,
영유아,BABY,BABY,
영화,MOV,MOVIE,
예,XMPL,EXAMPLE,
예과,PRE_SUST,A PREPARATORY COURSE,
예금,DEPO,DEPOSIT,
예금주,DEPOTR,DEPOSITOR,
예능,ACPM,ACCOMPLISHMENTS,
예비,PREPA,PREPARATION,
예비교육,OT,ORIENTATION,"전문적인 교육을 받기 전에, 그에 대한 이해를 돕기 위해 관련 지식을 미리 가르치는 일"
예비군,RESFORCE,RESERVE FORCE,
예비비,SPAMT,SPARE AMOUNT,
예산,BUDG,BUDGET,
예상,EXPC,EXPECTATION,앞으로 일어날 일을 미리 헤아려 봄
예수,WHOLD,WITHHOLD,
예약,RESER,RESERVATION,미리 약속함. 또는 미리 정한 약속
예외,EXCP,EXCEPTION,
예우,HNTRMT,HONORABLE TREATMENT,
예정,EXPC,EXPECTATION,미리 정하거나 예상함
예치,RESV,RESERVE, 돈이나 물건 따위를 금융 기관 따위에 맡겨 둠
오디오,AUDIO,AUDIO,
오류,ERR,ERROR,
오리엔테이션,OT,ORIENTATION,
오전,AM,AM,
오픈,OPEN,OPEN,
오후,PM,"PM, AFTER NOON",
옥내,INDOR,INDOORS,
옥외,OTDOR,OUTDOORS,
온도,TEMP,TEMPERATURE,동물체가 가지고 있는 온도. 체내에서 물질대사의 산화 과정 결과 발생하여 몸의 표면으로 방출된다.
옵션,OPT,OPTION,
완공,CMPLT,COMPLETION,
완납,FULPAID,FULL PAYMENT,
완독,CLSREAD,CLOSE READING,
완료,CLS,CLOSING,
완성도,LVLEX,LEVEL OF  COMPLETION,
외,OUT,OUT,
외국,FRN,FOREIGN COUNTRY,
외국납부,FRNPAI,FOREIGN PAID,
외국어,FRN_LANG,FOREIGN LANGUAGE,
외국어시험,FLN_EXAM,FOREIGN LANGUAGE EXAM,
외국인,FOREIGNER,FOREIGNER,
외국인등록번호,FOR_RES_NO,FOREIGNER RESIDENT NUMBER,
외근,WORKOUT,WORKS OUTSIDE,
외래,FORE,FOREIGN,
외부,OTSD,OUTSIDE,
외부인,OTSDR,OUTSIDER,
외상,CRT,ON CREDIT,
외양,APPRC,APPEARANCE,
외자,FOFU,FOREIGN FUND,
외화,FRGN_EXCHG,EXCHANGE,
외환,FRGN_EXCHG,EXCHANGE,
요강,REQM,REQUIRMENT,
요건,COND,CONDITION,
요구,DMND,DEMAND,"필요하다고 바라거나 요청하다,"
요금,FEE,FEE,"[料金]대가로 치르는 돈,"
요금,FEE,FEE,"대가로 치르는 돈,"
요목,PRITEM,"PRINCIPAL ITEMS,",
요소,ELEM,ELEMENT,어떤 사물을 구성하거나 효력을 발생시키기 위하여 없어서는 안 될 근본적인 조건이나 성분
요약,SMRY,SUMMARY,
요양,RECU,RECUPERATION,
요율,RATE,RATE,"일부 명사 뒤에 붙어, ‘전체 중의 비율’ 또는 ‘상대적인 비율’의 뜻을 더하여 명사를 만드는 말. "
요일,DAY,DAY,[曜日]일주일의 각 날을 나타내는 말
요청,DMND,DEMAND,
요청자,DMNDR, DEMANDER,
용,USE,USE,
용도,USE,USE,
용량,CAPA,CAPACITY,"[容量] 1.가구나 그릇 같은 데 들어갈 수 있는 분량.
2.<물리>어떤 물질이 일정한 상태에서 가질 수 있는 에너지의 양 또는 전기의 양.
3.<컴퓨터>저장할 수 있는 정보의 양."
용어,TMNLGY,TERMINOLOGY,
용역,SVC,SERVICE,
용이,EASE,EASY,
용지,SHEET,SHEET,
우,RT,RIGHT,오른쪽
우대,PREF,PREFERENCE,
우등,HONOR,HONOR,
우등/경고,HNWRN,HONOR OR WARNNING,
우리,WE,OUR,"[대명사]
1 말하는 이가 자기와 듣는 이, 또는 자기와 듣는 이를 포함한 여러 사람을 가리키는 일인칭 대명사."
우리사주,OSC,OUR COMPANY STOCK,
우선,PREF,PREFERENCE,다른 것에 앞서 특별히 대우함
우수,EXCL,EXCELLENT,여럿 가운데 뛰어남.
우천시,RAIN,RAINNING,
우측,RT,RIGHT,
우편,ZIP,ZIP CODE,
우편물,POST,POST,
우편번호,ZIP,ZIP CODE,"郵便番號
 우편물을 분류하는 작업의 능률 향상을 위해 지역별로 정해 놓은 고유 번호"
운동,ATHLE,ATHLETICS,
운영,MNGT,MANAGEMENT,어떤 조직이나 그 조직의 일을 목적에 맞게 이끌어 경영
운용,USE,USE,
운임,FEE,FEE,
운전,DRIV,DRIVING,"기계나 자동차, 수레 따위를 움직여 부림, 움직여 굴리다"
운전자,DRIVR,DRIVER,
운행,DRIV,DRIVING,
워크숍,WKSHP,WORKSHOP,
원,MEMB,MEMBER,"지역이나 단체를 나타내는 명사 뒤에 쓰여, 그 지역이나 단체 출신임을 나타내는 사람."
원,ORG,ORIGINAL,진짜의
원가,COST,COST,
원격,REMT,REMOTE,
원고,MNSCR,A MANUSCRIPT ,
원고,PLAINTF,PLAINTIFF,
원고지,MNSCRPP,MANUSCRIPT PAPER,
원금,PRINSUM,THE PRINCIPAL SUM,
원래,ORG,ORIGINAL,
원리금,PIA,PRICIPAL AND INTEREST AMOUNT,
원문,ORGTXT,ORIGINAL TEXT,[原文] (베끼거나 번역한 것에 대하여) 본디의 글을 이르는 말. 본문
원본,ORGWRK,ORIGINAL WORK,번역하거나 복사한 책에 대한 그 본래의 책
원부,ORGWRK,ORIGINAL WORK,번역하거나 복사한 책에 대한 그 본래의 책
원산,ORGWRK,ORIGINAL WORK,번역하거나 복사한 책에 대한 그 본래의 책
원산,ORG_PROD,THE ORIGIN OF A PRODUCT,
원서,ORGW,THE ORIGINAL (WORK),번역하거나 복사한 책에 대한 그 본래의 책
원어,ORGLANG,ORIGINAL LANGUAGE,번역하거나 고친 말의 본디 말.
원인,CAUS,CAUSE,[原因]어떤 사물이나 상태보다 먼저 존재하여 그것을 발생시키거나 변화시키는 일이나 사건
원인,CAUS,CAUSE,
원장,LEGR,A LEDGER,
원적,ORADR,ORIGINAL ADDRESS,
원적지,ORADR,ORIGINAL ADDRESS,원적지 주소
원천,WTHL,WITHHOLDING,
원천세,WHTAX,A WITHHOLDING (TAX) ,
원천징수,WTHL,WITHHOLDING,
원화,WONCR,WON CURRENCY ,
월,MM,MONTH,"[月]월, 한달"
월별,CBYMM,CLASSIFIED BY MONTH,
월세,MNRT,MONTHLY RENT,
월수,MMCNT,MONTH COUNT,달 수
월요일,MON,MONDAY,
월일,MMDD,MONTH DAY,달과 해를 아울러 이르는 말.
월일,MMDD,MONTH DAY,달과 해를 아울러 이르는 말.
웹,WEB,WEBSITE,
위도,LAT,LATITUDE,"[緯度] 경도(經度)와 함께 지구상에 있는 지점의 위치를 나타내기 위하여 만든 좌표. 적도에서 남북으로 잰 가거리. 적도를 0도로 하여 남북 각각 90도에 이르며, 북으로 잰 것이 북위, 남으로 잰 것이 남위임.
"
위로,CMFT,COMFORT,
위반,VIOL,VIOLATION,"법이나 약속 따위를 어기거나 지키지 않음, 어기거나 지키지 않다"
위원,MEMB,MEMBER,
위원회,CMTT,COMMITTEE,
위임,TRUST,TRUST,
위촉,CHARG,CHARGE,
위치,LOC,LOCATION,
위탁,TRUST,TRUST,
위험,RISK,RISK,
위험물,RISK,RISK,
윈도우,WDW,A WINDOW,
유가,VLABL,"VALUABLENESS, HAVING A FIXED PRICE ",
유급,ACPROB,ACADEMIC PROBATION,
유도,INDCTN,INDUCTION,
유력자,POTNT,POTENTATE,
유무,YN,YES OR NO,있음과 없음
유사,SIM,SIMILARITY,
유상,CMPS,COMPENSATION,
유연근무,SWK,SUPPLE WORK,
유예,DELY,DELAY,
유즈케이스,UC,USECASE,
유지,MATE,MAINTENANCE,
유지보수,MATE,MAINTENANCE,
유학,STAB,STUDY ABROAD,
유형,TYP,TYPE,성질이나 특징 따위가 공통적인 것끼리 묶은 하나의 틀. 또는 그 틀에 속하는 것
유효,VALD,VALID,
육성,REAR,REARING,
육아,INFC,INFANT CARE,
율,RATE,RATE,"일부 명사 뒤에 붙어, ‘전체 중의 비율’ 또는 ‘상대적인 비율’의 뜻을 더하여 명사를 만드는 말. "
융자,FINC,FINANCING,
은행,BANK,BANK,
음악,MUSIC,MUSIC,
음양,LUSO,LUNAR,
읍면,TWN,TOWN,
읍면동,TWNVIL,TOWNS VILLAGES,
응답,RPLY,REPLY,
응시,APPLEXAM,APPLY FOR AN EXAMINATION,
응용,ADPT,ADOPTION,
의견,OPIN,OPINION,
의결,DETM,DETERMINE,
의과,MDEPT,MEDICAL DEPARTMENT,
의과대학,MEDICOLE,MEDICAL COLLEGE,
의대,MEDICOLE,MEDICAL COLLEGE,
의뢰,TRST,TRUST,
의뢰인,CLNT,CLIENT,
의뢰자,CLNT,CLIENT,
의료,MEDI,MEDICAL EXAMINATION,
의료비,HFE,HUMAN EXPENSE,
의무자,OBLIR,AN OBLIGATOR,
의사,DOCTOR,DOCTOR,
의식,CERE,CEREMONY,
의존,DEPNDC,DEPENDENCE,남에게 의지하여 있음
의존도,DEPNDC,DEPENDENCE,
의학,MECI,MEDICINE,
이관,TRANS,TRANSFER,
이내,WTN,WITHIN,
이내자내역,WPC,WITHIN CONTENT,
이념,IDEAL,IDEAL,
이동,MV,A MOVE,
이력,HIST,HISTORY,
이력서,RESUME,RESUME,
이론,THEO,THEORY,
이름,NM,NAME,
이메일,EMAIL,EMAIL,컴퓨터의 단말기 이용자끼리 통신 회선을 이용하여 주고받는 편지
이미,ALD,ALREADY,
이미지,IMG,IMAGE,
이벤트,EVENT,EVENT,매우 중요하거나 흥미를 끄는 경기나 행사
이사,MV,A MOVE,
이사장,CDIR,THE CHIEF DIRECTOR,
이상,INFER,INFERIORITY,
이상,OVR,OVER,
이수,CPTN,COMPLETION,
이완,RELAX,"RELAXATION,",
이용자,USER,USER,
이월,CYOV,CARRY OVER,
이유,RESN,REASON,
이의,DIFF,DIFFERENCE,
이익,PROFIT,PROFIT,
이자,ITT,INTEREST,
이전,BF,BEFORE,
이전,TRNSF,TRANSFE,
이중,DUP,DUPLICATE,
이체,TRANS,TRANSFER,
이하,BLW,BELOW,
이해,UNDR,UNDERSTAND,
이후,AF,AFTER,
익년도,NXYY,NEXT YEAR,
인,PSN,PERSON,"지역이나 단체를 나타내는 명사 뒤에 쓰여, 그 지역이나 단체 출신임을 나타내는 사람."
인가,CONF,CONFIRM,
인간,HUMAN,HUMAN,
인건비,LABCOST,LABOR COSTS,
인계,SUCC,SUCCESSION,
인계자,SUCCR,UNDEFINED,
인도,DLV,DELIVERY,
인문,HUMN,HUMN,
인부,LABORR,LABORER,
인브리딩,INBR,INBRIDING,
인사,PSNMNG,PERSONNEL MANAGEMENT,
인사관리,PSNMNG,PERSONNEL MANAGEMENT,
인상,RAIS,RAISE,
인성,HUSM,HUMANISM,
인성검사,HUMTST,HUMAN INSTINCT TEST,
인세,RYT,ROYALTY,
인센티브,INCN,INCENTIVE,
인쇄,PRINT,PRINTING,
인수,TK,TAKE,
인수자,TKR,UNDEFINED,
인용,QTAT,QUOTATION,
인원,RCNT,THE NUMBER OF PERSONS,
인원수,RCNT,NUMBER OF PERSONS,단체를 이루고 있는 사람들. 또는 그 수효.
인적,HUM,HUMAN,
인정,DETM,DETERMINE,
인증,VLD,VALIDATION,
인증서,CERTI,CERTIFICATION,
인터넷,INET,INTERNET,
인터뷰,INTV,INTERVIEW,
인턴,INTN,INTERN,
인턴쉽,INTRNS,INTERNSHIP,인턴사원 근무 (기간)
인하,DISCNT,DISCOUNT,
일,DD,DAY,하루 동안.
일간지,NEWSPP,NEWS PAPER,
일괄,BATCH,BATCH,
일련번호,SRNUM,SERIAL NUMBER,
일반,GENRL,GENERAL,
일반선택,EGS,ELECTIVE GENERAL SUBJECT,특별한 일부에 한정되지 않고 일반적인 교과목
일수,DCNT,DAY COUNT,날의 수.
일숙직,ONTDT,ONE NIGHT DUTY,
일시,DTTM,DATE TIME,날짜와 시간을 아울러 이르는 말.
일요일,SUN,SUNDAY,
일용,DAILY,DAILY,
일자,DT,DATE,일정한 일을 하는 데 걸리는 날의 수.
일정,SCHE,SCHEDULE,
일정표,TM_TBL,A TIME TABLE,
일지,DIARY,A DIARY,
일직,DDTY,DAY DUTY,
일치,ACCRD,ACCORD,
일할,BTDD,BY THE DAY,
일회,ONCE,ONCE,
읽기,RDNG,READING,
잃다,LOST,LOST,
임,TMP,,
임금,SALY,SALARY,
임기,TERM,TERM,
임대,RNTL,RENTAL,
임면,APP_DIS, APPOINT AND DISMISS,
임상,CLINIC,CLINICAL,
